subject;channels;auc_cross_val_mean;auc_cross_val_std
Dog_5;[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15];0.9596296296296296;0.031150768375280406
Dog_5;[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15];0.9825925925925926;0.011391523332762723
Dog_5;[1, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15];0.9662962962962961;0.029777409247765618
Dog_5;[1, 3, 4, 5, 6, 9, 10, 11, 12, 13, 14, 15];0.9744444444444446;0.01611855936813995
Dog_5;[1, 3, 4, 5, 6, 9, 10, 11, 12, 14, 15];0.9666666666666666;0.013094570021973092
Dog_5;[1, 3, 4, 5, 9, 10, 11, 12, 14, 15];0.9683333333333334;0.023689231693255406
Dog_5;[1, 3, 4, 5, 9, 10, 11, 12, 14];0.965925925925926;0.021898882220880725
Dog_5;[1, 3, 5, 9, 10, 11, 12, 14];0.9770370370370369;0.01919504965903695
Dog_5;[1, 3, 5, 9, 11, 12, 14];0.9637037037037036;0.032973364983785156
Dog_5;[1, 3, 9, 11, 12, 14];0.9744444444444443;0.010566920457546015
Dog_5;[11, 9, 3, 12, 14];0.9648148148148147;0.034326760328099275
Dog_5;[9, 11, 12, 14];0.9592592592592594;0.025147029921137706
Dog_5;[9, 11, 12];0.9181481481481482;0.027799991118215114
Dog_5;[9, 11];0.9351851851851853;0.016016109859584928
Dog_5;[11];0.8312962962962963;0.06296405227815866
